iter	Passed	Remaining
0	114	114033
1	120	60259
2	128	42813
3	131	32731
4	139	27775
5	145	24048
6	153	21789
7	162	20170
8	164	18130
9	168	16689
10	174	15708
11	182	14988
12	185	14062
13	187	13178
14	192	12622
15	194	11970
16	199	11522
17	203	11078
18	205	10625
19	212	10394
20	216	10083
21	218	9705
22	224	9522
23	228	9291
24	232	9053
25	237	8895
26	244	8810
27	247	8596
28	255	8567
29	258	8353
30	262	8207
31	272	8234
32	275	8069
33	280	7977
34	282	7798
35	286	7676
36	291	7575
37	294	7443
38	300	7397
39	304	7312
40	306	7180
41	320	7311
42	333	7420
43	346	7524
44	350	7428
45	353	7335
46	355	7216
47	361	7178
48	365	7094
49	368	7002
50	378	7040
51	383	6988
52	388	6946
53	392	6867
54	397	6831
55	407	6869
56	411	6801
57	418	6803
58	424	6769
59	429	6726
60	431	6637
61	442	6695
62	446	6638
63	450	6586
64	463	6661
65	474	6711
66	479	6682
67	488	6699
68	494	6673
69	501	6656
70	508	6647
71	516	6653
72	527	6700
73	536	6708
74	539	6655
75	552	6722
76	557	6677
77	561	6640
78	568	6631
79	577	6636
80	580	6582
81	582	6523
82	586	6479
83	590	6444
84	594	6404
85	602	6399
86	604	6344
87	611	6340
88	613	6277
89	616	6231
90	625	6245
91	627	6192
92	629	6137
93	630	6080
94	638	6081
95	641	6040
96	643	5993
97	649	5982
98	651	5928
99	659	5935
100	661	5891
101	664	5848
102	667	5816
103	674	5814
104	678	5781
105	680	5740
106	688	5742
107	691	5714
108	693	5669
109	699	5657
110	702	5623
111	704	5586
112	706	5548
113	716	5565
114	719	5535
115	727	5544
116	733	5536
117	735	5496
118	739	5477
119	741	5439
120	751	5461
121	754	5428
122	758	5408
123	762	5385
124	765	5356
125	768	5332
126	770	5296
127	773	5271
128	776	5241
129	777	5205
130	780	5178
131	782	5144
132	783	5109
133	786	5085
134	794	5090
135	797	5067
136	799	5036
137	801	5004
138	803	4977
139	805	4947
140	807	4921
141	812	4909
142	819	4911
143	823	4897
144	826	4874
145	828	4843
146	830	4816
147	832	4791
148	838	4787
149	839	4759
150	843	4744
151	849	4741
152	853	4722
153	854	4695
154	863	4707
155	870	4709
156	872	4684
157	880	4693
158	886	4688
159	887	4661
160	893	4656
161	895	4634
162	898	4614
163	902	4601
164	904	4577
165	915	4597
166	917	4576
167	937	4642
168	945	4649
169	952	4650
170	958	4644
171	960	4621
172	967	4626
173	977	4638
174	979	4617
175	988	4629
176	990	4606
177	992	4583
178	994	4560
179	999	4552
180	1001	4532
181	1004	4515
182	1006	4494
183	1008	4471
184	1012	4461
185	1020	4466
186	1022	4445
187	1023	4422
188	1030	4423
189	1035	4414
190	1037	4394
191	1040	4377
192	1048	4383
193	1050	4363
194	1058	4370
